,v_state,t_state,county,tweets_count,ADI,month,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,administered_dose1_pop_pct_12,administered_dose1_pop_pct_01,administered_dose1_pop_pct_02,administered_dose1_pop_pct_03,svi_ctgy,metro_status,census2019,Dominant Topic
3525,WI,Wisconsin,Walworth County,6,41.0,2,0.209097508,0.007456255,0.071883293,0.036492127,0.049988138,0.038446782,0.020606538,0.228910235,0.032938193,0.076551423,0.202731524,0.0,4.6,12.9,26.6,B,Non-metro,103868,8
3526,WI,Wisconsin,Walworth County,26,41.0,3,0.05462568,0.099352244,0.071399714,0.063206059,0.03835673,0.124113154,0.125867595,0.02607181,0.126640051,0.037811486,0.21191687,0.0,4.6,12.9,26.6,B,Non-metro,103868,11
3527,IA,Iowa,Wapello County,7,76.0,3,0.07245501,0.038672508,0.107136556,0.026518255,0.077280612,0.08322686,0.095336196,0.116082318,0.281653823,0.011906315,0.073231276,0.0,3.2,12.2,26.0,C,Non-metro,34969,9
3528,ND,North Dakota,Ward County,2,40.0,2,0.075124525,0.0,0.0,0.0,0.08989799,0.0,0.0,0.070855305,0.3876791,0.0,0.302865982,0.0,10.9,18.0,27.8,A,Non-metro,67641,9
3529,ND,North Dakota,Ward County,10,40.0,3,0.096998754,0.034509797,0.012949036,0.0089658,0.201304071,0.173247361,0.083126828,0.022533156,0.109550195,0.036417985,0.199019239,0.0,10.9,18.0,27.8,A,Non-metro,67641,5
3530,GA,Georgia,Ware County,1,88.5,2,0.010104791,0.010104821,0.010104447,0.010104151,0.616142809,0.010104413,0.010105795,0.292914003,0.010105132,0.010104411,0.010105215,0.0,3.6,6.8,10.7,D,Non-metro,35734,5
3531,IL,Illinois,Warren County,1,68.0,2,0.013002994,0.013003074,0.013002696,0.442008793,0.013002899,0.013006889,0.162182376,0.013002842,0.013004502,0.013002693,0.291780233,0.0,7.1,18.9,28.8,C,Non-metro,16844,4
3532,IA,Iowa,Warren County,9,41.0,3,0.078031008,0.011477961,0.176718718,0.053864366,0.235704494,0.085758451,0.058898732,0.093234777,0.081752255,0.027075601,0.085549841,0.0,6.1,16.3,28.5,A,Metro,51466,5
3533,KY,Kentucky,Warren County,4,62.0,1,0.021594875,0.058142336,0.02159512,0.049070579,0.238337268,0.021595681,0.021595603,0.021595859,0.389337086,0.021595476,0.117334227,0.0,5.9,10.7,20.0,C,Metro,132896,9
3534,KY,Kentucky,Warren County,6,62.0,2,0.050509489,0.04657159,0.014036051,0.014036433,0.01403679,0.313951538,0.135928436,0.24705284,0.055069394,0.062361857,0.038862267,0.0,5.9,10.7,20.0,C,Metro,132896,6
3535,KY,Kentucky,Warren County,130,62.0,3,0.050235107,0.053898089,0.121463298,0.20053256,0.091179251,0.066589405,0.085241166,0.065534742,0.121232857,0.052060178,0.066880778,0.0,5.9,10.7,20.0,C,Metro,132896,4
3536,MS,Mississippi,Warren County,5,79.0,3,0.012776837,0.053590439,0.114356633,0.012777274,0.091189982,0.205098012,0.117816581,0.119863109,0.193594821,0.012777771,0.062788538,0.0,7.6,15.4,27.0,D,Non-metro,45381,6
3537,MO,Missouri,Warren County,1,48.0,3,0.022732368,0.521204054,0.022740046,0.022732999,0.022732986,0.274196327,0.022732263,0.022732303,0.022732213,0.022732237,0.022732213,0.0,3.5,8.5,17.6,B,Metro,35649,2
3538,NJ,New Jersey,Warren County,3,26.0,2,0.063895618,0.170266161,0.0,0.0,0.446807384,0.033483505,0.0,0.093951056,0.0,0.0,0.133160432,0.0,8.0,15.5,30.3,A,Metro,105267,5
